0,1,2,3,4
34204.256047385,2242000,100,2238900,100
34204.354928214,2242400,20,2238900,100
34204.354928214,2241600,100,2238900,100
34204.414467151,2241600,100,2238900,100
34204.476700094,2242400,20,2238900,100
34204.476700094,2241300,100,2238900,100
34204.572760266,2241300,100,2238900,100
34204.652306988,2241000,1100,2238900,100
34204.763922789,2241000,1200,2238900,100
34205.104260912,2241000,1100,2238900,100
34205.104260912,2240800,100,2238900,100
34205.104818539,2240800,320,2238900,100
34205.105828981,2240800,100,2238900,100
34205.107097083,2240800,320,2238900,100
34205.108103666,2240800,100,2238900,100
34205.109400899,2240800,320,2238900,100
34205.109754612,2240800,475,2238900,100
34205.110466704,2240800,255,2238900,100
34205.162100797,2240700,100,2238900,100
34205.197780635,2240700,100,2238900,200
34205.304295214,2240700,100,2238900,200
34205.513948001,2240500,100,2238900,200
34205.621655175,2240500,100,2238900,200
34205.621745869,2240500,100,2238900,200
34205.621745869,2240500,100,2238900,200
34205.888223563,2240700,100,2238900,200
34205.888223563,2240300,100,2238900,200
34205.919446318,2240200,100,2238900,200
34206.151537755,2240200,200,2238900,200
34206.555393547,2240200,200,2238900,300
34207.02465637,2240200,200,2238900,300
34207.02465637,2240200,200,2238900,300
34207.02465637,2240200,200,2238900,300
34207.232535255,2240200,200,2238900,200
34207.232650402,2240200,200,2238900,200
34207.232650402,2240200,200,2238900,200
34207.232650402,2240200,200,2238900,187
34207.272071021,2240200,200,2238900,100
34207.272071021,2240200,200,2239000,87
34207.312164392,2240200,200,2238900,100
34207.312164392,2240200,200,2239100,87
34207.319504351,2240200,129,2239100,87
34207.35959249,2240200,100,2239100,87
34207.35959249,2240200,29,2239100,87
34207.409684709,2240200,29,2238900,100
34207.409684709,2240200,29,2239200,87
34207.71831102,2240700,100,2239200,87
34207.71831102,2240700,129,2239200,87
34208.996027789,2240700,129,2239200,164
34209.339457717,2240700,129,2239200,264
34209.709730284,2240700,100,2239200,264
34209.709730284,2240600,29,2239200,264
34209.76667599,2240700,100,2239200,264
34209.76667599,2240700,129,2239200,264
34209.787331886,2240700,100,2239200,264
34209.787331886,2240500,29,2239200,264
